user_id,ux_score,ue_score,satisfaction_score
33601001722.0,-0.272,0.1374,-0.0673
33601001754.0,-0.3394,-0.0268,-0.1831
33601002511.0,-0.0557,0.121,0.0326
33601007832.0,-0.0979,-0.1329,-0.1154
33601008617.0,0.0647,0.6191,0.3419
33601010682.0,-0.1719,0.4785,0.1533
33601011634.0,-0.0808,0.2886,0.1039
33601011959.0,-0.2326,-0.0189,-0.1258
33601014694.0,-0.0558,0.8407,0.3924
33601020306.0,-0.1978,0.1604,-0.0187
33601021045.0,-0.3486,0.0294,-0.1596
33601021217.0,0.5474,0.0673,0.3073
33601022743.0,-0.2406,0.1345,-0.053
33601024291.0,-0.0566,0.136,0.0397
33601025738.0,-0.0557,0.069,0.0066
33601026147.0,-0.2505,0.0394,-0.1056
33601027208.0,-0.3889,0.1507,-0.1191
33601031129.0,0.2567,0.0863,0.1715
33601032846.0,-0.2585,0.1302,-0.0642
33601032987.0,-0.3974,0.1088,-0.1443
33601034530.0,-0.1077,0.659,0.2756
33601034784.0,-0.0726,0.7076,0.3175
33601035197.0,-0.2028,0.0814,-0.0607
33601036379.0,-0.0554,-0.075,-0.0652
33601037966.0,-0.2991,0.0342,-0.1325
33601041557.0,-0.3844,0.0539,-0.1652
33601044885.0,-0.3167,0.1307,-0.093
33601044963.0,-0.3393,0.0849,-0.1272
33601047438.0,-0.0941,-0.0207,-0.0574
33601048751.0,0.1492,1.2323,0.6907
33601050219.0,-0.3486,-0.0136,-0.1811
33601054608.0,-0.1239,0.5397,0.2079
33601055238.0,-0.0553,0.24,0.0923
33601055260.0,-0.1187,0.7456,0.3134
33601055375.0,-0.29,0.35,0.03
33601056091.0,-0.0557,0.1584,0.0514
33601062786.0,0.3149,0.0562,0.1856
33601063991.0,-0.2181,0.6265,0.2042
33601070392.0,-0.303,0.2271,-0.038
33601070798.0,-0.0798,0.0321,-0.0239
33601071144.0,-0.1807,-0.0587,-0.1197
33601072539.0,-0.2745,-0.0245,-0.1495
33601072619.0,-0.216,0.6319,0.208
33601073097.0,-0.0557,0.6493,0.2968
33601073415.0,0.5552,0.6334,0.5943
33601074590.0,-0.0566,0.1329,0.0382
33601075900.0,-0.2847,0.0643,-0.1102
33601076841.0,-0.1014,0.1185,0.0086
33601082181.0,-0.1708,0.5414,0.1853
33601083661.0,0.0673,-0.1052,-0.019
33601084919.0,-0.3348,0.1903,-0.0722
33601086000.0,-0.1298,0.681,0.2756
33601088633.0,-0.3527,0.7441,0.1957
33601100080.0,-0.3479,-0.0236,-0.1857
33601100578.0,-0.0557,-0.0047,-0.0302
33601100665.0,-0.1684,-0.0754,-0.1219
33601100684.0,-0.2943,0.2232,-0.0356
33601101581.0,-0.0214,1.0558,0.5172
33601110813.0,-0.3574,0.1044,-0.1265
33601111421.0,0.2976,0.1578,0.2277
33601114380.0,-0.371,0.0593,-0.1558
33601121112.0,0.3577,0.0128,0.1853
33601121585.0,0.0168,0.6248,0.3208
33601137075.0,-0.317,0.0207,-0.1482
33601139346.0,-0.2267,-0.0057,-0.1162
33601142645.0,-0.2284,0.6254,0.1985
33601145915.0,-0.0649,0.507,0.221
33601146333.0,-0.0557,0.0327,-0.0115
33601147767.0,-0.0648,0.0394,-0.0127
33601150959.0,0.0672,0.0896,0.0784
33601152175.0,-0.3627,0.1229,-0.1199
33601152653.0,-0.056,0.1812,0.0626
33601152662.0,0.0618,0.5096,0.2857
33601153325.0,0.528,-0.1425,0.1928
33601154516.0,0.0936,-0.0823,0.0056
33601154993.0,-0.067,-0.0186,-0.0428
33601155426.0,-0.0556,0.0433,-0.0061
33601156897.0,-0.308,0.0903,-0.1088
33601157456.0,0.2022,0.1312,0.1667
33601159679.0,-0.0312,0.0696,0.0192
33601160415.0,-0.0554,0.6786,0.3116
33601162249.0,-0.272,0.2577,-0.0072
33601165886.0,-0.0556,-0.0807,-0.0681
33601167084.0,-0.0566,-0.0377,-0.0471
33601168767.0,-0.353,0.0634,-0.1448
33601171014.0,-0.2987,0.1094,-0.0947
33601173078.0,-0.3214,0.0514,-0.135
33601177555.0,-0.2608,-0.0281,-0.1444
33601180416.0,-0.0929,0.8951,0.4011
33601181017.0,-0.1982,0.1282,-0.035
33601181504.0,0.0191,0.0314,0.0252
33601182119.0,-0.136,0.0611,-0.0374
33601182120.0,-0.3439,0.5604,0.1083
33601183595.0,-0.3034,0.1347,-0.0844
33601184331.0,-0.163,0.5955,0.2163
33601190313.0,1.0428,0.0764,0.5596
33601192287.0,0.0588,0.8022,0.4305
33601193699.0,-0.3882,-0.0786,-0.2334
33601193938.0,0.1539,-0.0657,0.0441
33601195287.0,-0.0554,0.0057,-0.0249
33601195926.0,-0.0556,0.075,0.0097
33601197336.0,-0.3528,0.0179,-0.1674
33601197692.0,-0.3481,0.0115,-0.1683
33601198480.0,-0.2403,0.0213,-0.1095
33601205909.0,-0.0463,0.5599,0.2568
33601208807.0,-0.3574,0.1191,-0.1192
33601209114.0,-0.3477,0.2841,-0.0318
33601212056.0,-0.0889,0.7464,0.3287
33601214940.0,0.0117,0.0588,0.0352
33601219035.0,-0.3256,-0.0804,-0.203
33601220346.0,-0.1783,0.0362,-0.0711
33601222513.0,-0.0559,0.0357,-0.0101
33601224036.0,-0.1068,-0.0714,-0.0891
33601224236.0,-0.2993,0.5272,0.114
33601224765.0,-0.2487,0.245,-0.0018
33601226817.0,0.029,0.1486,0.0888
33601231383.0,0.05,1.1503,0.6001
33601233494.0,-0.2887,0.5009,0.1061
33601236188.0,-0.0566,0.141,0.0422
33601240612.0,-0.101,0.1121,0.0056
33601241477.0,-0.3437,0.0116,-0.1661
33601247220.0,-0.2671,1.2802,0.5065
33601247626.0,0.2519,0.1071,0.1795
33601250979.0,0.1212,0.3161,0.2187
33601251502.0,-0.1863,0.1996,0.0067
33601252842.0,-0.0554,0.4679,0.2063
33601260742.0,-0.1387,-0.0488,-0.0938
